epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97096,1.83563,3.585,2.27833,0,0,0,0,0,22.9484,0,0.1,0,0
2,7.09796,1.73351,3.59957,2.12814,0,0,0,0,0,21.3659,0,0.0990098,9.802e-06,9.802e-06
3,10.127,1.00225,3.13268,1.61444,0,0,0,0,0,20.4938,0,0.0980192,1.9208e-05,1.9208e-05
4,13.099,1.01915,2.97896,1.55037,0,0,0,0,0,20.313,0,0.0970282,2.8218e-05,2.8218e-05
5,16.176,0.82136,2.73078,1.36725,0,0,0,0,0,20.8394,0,0.0960368,3.6832e-05,3.6832e-05
6,19.189,0.68801,2.68398,1.31876,0,0,0,0,0,22.1056,0,0.0950451,4.505e-05,4.505e-05
7,22.216,0.68001,2.59712,1.24997,0,0,0,0,0,24.1348,0,0.0940529,5.2872e-05,5.2872e-05
8,25.209,0.81963,2.40831,1.25815,0,0,0,0,0,26.8174,0,0.0930603,6.0298e-05,6.0298e-05
9,28.129,0.7609,2.44069,1.25232,0,0,0,0,0,29.8078,0,0.0920673,6.7328e-05,6.7328e-05
10,31.356,0.6953,2.32982,1.34364,0,0,0,0,0,33.2794,0,0.091074,7.3962e-05,7.3962e-05
11,34.239,0.7149,2.16197,1.20688,0,0,0,0,0,36.3771,0,0.0900802,8.02e-05,8.02e-05
12,37.123,0.53392,1.96186,1.04313,0,0,0,0,0,39.1956,0,0.089086,8.6042e-05,8.6042e-05
13,40.064,0.58235,2.088,1.05822,0,0,0,0,0,41.164,0,0.0880915,9.1488e-05,9.1488e-05
14,42.981,0.59346,2.08361,1.11558,0,0,0,0,0,41.1362,0,0.0870965,9.6538e-05,9.6538e-05
15,46.056,0.64871,1.9245,1.10449,0,0,0,0,0,39.7787,0,0.0861012,0.000101192,0.000101192
16,49.078,0.47254,2.03376,1.11316,0,0,0,0,0,37.2795,0,0.0851054,0.00010545,0.00010545
17,52.166,0.5022,2.07673,1.05761,0,0,0,0,0,34.1019,0,0.0841093,0.000109312,0.000109312
18,55.158,0.52447,1.83319,1.04125,0,0,0,0,0,34.1019,0,0.0831128,0.000112778,0.000112778
19,58.114,0.63888,1.99439,1.17077,0,0,0,0,0,30.3135,0,0.0821158,0.000115848,0.000115848
20,61.151,0.54376,2.04104,1.0872,0,0,0,0,0,30.3135,0,0.0811185,0.000118522,0.000118522
21,64.278,0.49583,1.71037,1.00782,0,0,0,0,0,26.4434,0,0.0801208,0.0001208,0.0001208
22,67.229,0.57278,1.73815,1.03246,0,0,0,0,0,26.4434,0,0.0791227,0.000122682,0.000122682
23,70.26,0.38791,1.9622,1.02792,0,0,0,0,0,22.8475,0,0.0781242,0.000124168,0.000124168
24,73.266,0.4446,1.99986,0.95666,0,0,0,0,0,22.8475,0,0.0771253,0.000125258,0.000125258
25,76.379,0.46046,1.90048,1.0006,0,0,0,0,0,19.7624,0,0.076126,0.000125952,0.000125952
26,79.393,0.41417,1.64959,1.02992,0,0,0,0,0,19.7624,0,0.0751263,0.00012625,0.00012625
27,82.507,0.60501,1.72984,1.05772,0,0,0,0,0,17.3547,0,0.0741262,0.000126152,0.000126152
28,85.609,0.46891,1.66678,1.04541,0,0,0,0,0,17.3547,0,0.0731257,0.000125658,0.000125658
29,88.665,0.58302,1.83157,1.20907,0,0,0,0,0,15.4828,0,0.0721248,0.000124768,0.000124768
30,91.536,0.45067,1.7277,1.04118,0,0,0,0,0,15.4828,0,0.0711235,0.000123482,0.000123482
31,94.643,0.46766,1.71833,1.05518,0,0,0,0,0,13.965,0,0.0701218,0.0001218,0.0001218
32,97.471,0.59732,1.77254,1.01791,0,0,0,0,0,13.965,0,0.0691197,0.000119722,0.000119722
33,100.454,0.39047,1.75613,1.0408,0,0,0,0,0,12.6458,0,0.0681172,0.000117248,0.000117248
34,103.282,0.4406,1.72474,1.03769,0,0,0,0,0,12.6458,0,0.0671144,0.000114378,0.000114378
35,106.205,0.41874,1.65248,0.96436,0,0,0,0,0,11.4943,0,0.0661111,0.000111112,0.000111112
36,109.22,0.39902,1.5367,1.02327,0,0,0,0,0,11.4943,0,0.0651075,0.00010745,0.00010745
37,112.14,0.4932,1.60144,1.09755,0,0,0,0,0,10.509,0,0.0641034,0.000103392,0.000103392
38,115.035,0.44081,1.58399,1.02526,0,0,0,0,0,10.509,0,0.0630989,9.8938e-05,9.8938e-05
39,117.914,0.57239,1.6461,1.13212,0,0,0,0,0,9.69347,0,0.0620941,9.4088e-05,9.4088e-05
40,120.764,0.48028,1.58027,0.96246,0,0,0,0,0,9.69347,0,0.0610888,8.8842e-05,8.8842e-05
41,123.628,0.55539,1.87107,1.18543,0,0,0,0,0,8.94324,0,0.0600832,8.32e-05,8.32e-05
42,126.538,0.53298,1.77782,1.22582,0,0,0,0,0,8.94324,0,0.0590772,7.7162e-05,7.7162e-05
43,129.671,0.67484,1.80135,1.41142,0,0,0,0,0,8.23574,0,0.0580707,7.0728e-05,7.0728e-05
44,132.6,0.55281,1.7611,1.26709,0,0,0,0,0,8.23574,0,0.0570639,6.3898e-05,6.3898e-05
45,135.663,0.45559,1.6359,1.07121,0,0,0,0,0,7.57991,0,0.0560567,5.6672e-05,5.6672e-05
46,138.667,0.39986,1.63843,1.01102,0,0,0,0,0,7.57991,0,0.0550491,4.905e-05,4.905e-05
47,141.573,0.38021,1.8304,1.06365,0,0,0,0,0,6.97812,0,0.054041,4.1032e-05,4.1032e-05
48,144.488,0.41616,1.61207,1.15005,0,0,0,0,0,6.97812,0,0.0530326,3.2618e-05,3.2618e-05
49,147.542,0.56883,1.56144,1.19576,0,0,0,0,0,6.44414,0,0.0520238,2.3808e-05,2.3808e-05
50,150.459,0.39645,1.62226,1.03157,0,0,0,0,0,6.44414,0,0.0510146,1.4602e-05,1.4602e-05
1,3.28396,1.83563,3.585,2.27833,0.00173,0.66667,0.06598,0.02723,1.20094,3.90798,2.31434,0.1,0,0
2,6.50396,1.73351,3.59957,2.12814,0.00177,0.66667,0.04457,0.01864,1.10408,3.78931,2.17725,0.0990098,9.802e-06,9.802e-06
3,9.52796,1.00225,3.13268,1.61444,0.00181,0.66667,0.03501,0.01949,1.19131,3.70045,2.21284,0.0980192,1.9208e-05,1.9208e-05
4,12.466,1.01915,2.97896,1.55037,0.00202,0.66667,0.03285,0.01021,1.43252,3.86225,2.43586,0.0970282,2.8218e-05,2.8218e-05
5,15.446,0.82136,2.73078,1.36725,0.00573,0.83333,0.04312,0.00905,1.69063,3.78026,2.84305,0.0960368,3.6832e-05,3.6832e-05
6,18.403,0.68801,2.68398,1.31876,0.00643,1,0.03361,0.01409,1.73365,3.97599,2.99264,0.0950451,4.505e-05,4.505e-05
7,21.419,0.68001,2.59712,1.24997,0.00771,1,0.07285,0.02286,1.87953,4.06244,3.07252,0.0940529,5.2872e-05,5.2872e-05
8,24.397,0.81963,2.40831,1.25815,0.00317,0.66667,0.0691,0.01771,1.8668,4.23768,3.11368,0.0930603,6.0298e-05,6.0298e-05
9,27.315,0.7609,2.44069,1.25232,0.00321,0.66667,0.08055,0.02397,1.78055,4.28752,2.95682,0.0920673,6.7328e-05,6.7328e-05
10,30.511,0.6953,2.32982,1.34364,0.00304,0.66667,0.08543,0.03298,1.52997,4.28708,2.57979,0.091074,7.3962e-05,7.3962e-05
11,33.411,0.7149,2.16197,1.20688,0.00315,0.66667,0.13819,0.06671,1.35223,4.23214,2.51448,0.0900802,8.02e-05,8.02e-05
12,36.301,0.53392,1.96186,1.04313,0.00296,0.66667,0.14925,0.06036,1.47427,4.39063,2.93582,0.089086,8.6042e-05,8.6042e-05
13,39.352,0.58235,2.088,1.05822,0.00301,0.66667,0.10779,0.05489,1.57993,4.41623,3.32838,0.0880915,9.1488e-05,9.1488e-05
14,42.298,0.59346,2.08361,1.11558,0.00294,0.66667,0.10661,0.06045,1.64938,4.51919,3.60147,0.0870965,9.6538e-05,9.6538e-05
15,45.348,0.64871,1.9245,1.10449,0.00293,0.66667,0.12498,0.07397,1.69258,4.5151,3.81266,0.0861012,0.000101192,0.000101192
16,48.207,0.47254,2.03376,1.11316,0.00314,0.66667,0.12635,0.07391,1.69335,4.34815,3.70415,0.0851054,0.00010545,0.00010545
17,51.214,0.5022,2.07673,1.05761,0.00303,0.66667,0.07909,0.04655,1.73907,4.38445,3.76348,0.0841093,0.000109312,0.000109312
18,54.144,0.52447,1.83319,1.04125,0.00303,0.66667,0.07909,0.04655,1.73907,4.38445,3.76348,0.0831128,0.000112778,0.000112778
19,57.079,0.63888,1.99439,1.17077,0.00277,0.66667,0.06581,0.03764,1.76981,4.21703,3.99747,0.0821158,0.000115848,0.000115848
20,60.201,0.54376,2.04104,1.0872,0.00277,0.66667,0.06581,0.03764,1.76981,4.21703,3.99747,0.0811185,0.000118522,0.000118522
21,63.305,0.49583,1.71037,1.00782,0.0022,0.66667,0.08292,0.0416,1.68239,4.26349,3.83181,0.0801208,0.0001208,0.0001208
22,66.15,0.57278,1.73815,1.03246,0.0022,0.66667,0.08292,0.0416,1.68239,4.26349,3.83181,0.0791227,0.000122682,0.000122682
23,69.105,0.38791,1.9622,1.02792,0.00183,0.66667,0.05758,0.02142,2.06724,4.24002,4.00201,0.0781242,0.000124168,0.000124168
24,72.017,0.4446,1.99986,0.95666,0.00183,0.66667,0.05758,0.02142,2.06724,4.24002,4.00201,0.0771253,0.000125258,0.000125258
25,75.049,0.46046,1.90048,1.0006,0.00192,0.66667,0.05088,0.01185,2.72903,4.27483,4.23108,0.076126,0.000125952,0.000125952
26,78.004,0.41417,1.64959,1.02992,0.00192,0.66667,0.05088,0.01185,2.72903,4.27483,4.23108,0.0751263,0.00012625,0.00012625
27,81.1,0.60501,1.72984,1.05772,0.00197,0.66667,0.0603,0.02307,2.53908,4.10982,4.08473,0.0741262,0.000126152,0.000126152
28,83.976,0.46891,1.66678,1.04541,0.00197,0.66667,0.0603,0.02307,2.53908,4.10982,4.08473,0.0731257,0.000125658,0.000125658
29,86.894,0.58302,1.83157,1.20907,0.00178,0.66667,0.11608,0.06965,1.97612,4.05138,3.55489,0.0721248,0.000124768,0.000124768
30,89.735,0.45067,1.7277,1.04118,0.00178,0.66667,0.11608,0.06965,1.97612,4.05138,3.55489,0.0711235,0.000123482,0.000123482
31,92.822,0.46766,1.71833,1.05518,0.0017,0.66667,0.16583,0.08844,1.70737,3.92402,3.31258,0.0701218,0.0001218,0.0001218
32,95.691,0.59732,1.77254,1.01791,0.0017,0.66667,0.16583,0.08844,1.70737,3.92402,3.31258,0.0691197,0.000119722,0.000119722
33,98.758,0.39047,1.75613,1.0408,0.00172,0.66667,0.22111,0.11608,1.66821,3.90575,3.35844,0.0681172,0.000117248,0.000117248
34,101.699,0.4406,1.72474,1.03769,0.00172,0.66667,0.22111,0.11608,1.66821,3.90575,3.35844,0.0671144,0.000114378,0.000114378
35,104.764,0.41874,1.65248,0.96436,0.00173,0.66667,0.22111,0.13188,1.66252,3.9099,3.27065,0.0661111,0.000111112,0.000111112
36,107.958,0.39902,1.5367,1.02327,0.00173,0.66667,0.22111,0.13188,1.66252,3.9099,3.27065,0.0651075,0.00010745,0.00010745
37,111.195,0.4932,1.60144,1.09755,0.00176,0.66667,0.23217,0.13267,1.60288,3.93549,3.01384,0.0641034,0.000103392,0.000103392
38,114.967,0.44081,1.58399,1.02526,0.00176,0.66667,0.23217,0.13267,1.60288,3.93549,3.01384,0.0630989,9.8938e-05,9.8938e-05
39,118.533,0.57239,1.6461,1.13212,0.00173,0.66667,0.23217,0.13267,1.49991,3.92189,2.90414,0.0620941,9.4088e-05,9.4088e-05
40,122.052,0.48028,1.58027,0.96246,0.00173,0.66667,0.23217,0.13267,1.49991,3.92189,2.90414,0.0610888,8.8842e-05,8.8842e-05
41,125.547,0.55539,1.87107,1.18543,0.00179,0.66667,0.24875,0.14096,1.46671,3.91242,2.79319,0.0600832,8.32e-05,8.32e-05
42,128.83,0.53298,1.77782,1.22582,0.00179,0.66667,0.24875,0.14096,1.46671,3.91242,2.79319,0.0590772,7.7162e-05,7.7162e-05
43,132.081,0.67484,1.80135,1.41142,0.0018,0.66667,0.41458,0.24046,1.46096,3.92856,2.75963,0.0580707,7.0728e-05,7.0728e-05
44,135.211,0.55281,1.7611,1.26709,0.0018,0.66667,0.41458,0.24046,1.46096,3.92856,2.75963,0.0570639,6.3898e-05,6.3898e-05
45,138.352,0.45559,1.6359,1.07121,0.00186,0.66667,0.24875,0.14397,1.44251,3.89288,2.78811,0.0560567,5.6672e-05,5.6672e-05
46,141.331,0.39986,1.63843,1.01102,0.00186,0.66667,0.24875,0.14397,1.44251,3.89288,2.78811,0.0550491,4.905e-05,4.905e-05
47,144.287,0.38021,1.8304,1.06365,0.00189,0.66667,0.44222,0.25494,1.43632,3.86203,2.78182,0.054041,4.1032e-05,4.1032e-05
48,147.304,0.41616,1.61207,1.15005,0.00189,0.66667,0.44222,0.25494,1.43632,3.86203,2.78182,0.0530326,3.2618e-05,3.2618e-05
49,150.343,0.56883,1.56144,1.19576,0.00189,0.66667,0.44222,0.25505,1.4243,3.89337,2.79567,0.0520238,2.3808e-05,2.3808e-05
50,153.372,0.39645,1.62226,1.03157,0.00189,0.66667,0.44222,0.25505,1.4243,3.89337,2.79567,0.0510146,1.4602e-05,1.4602e-05
1,5.9178,1.83834,3.52466,2.23192,0.00981,1,0.29548,0.08563,0.98751,3.74693,2.03157,0.1,0,0
2,10.2738,1.55884,3.51751,2.10636,0.00466,1,0.04762,0.0225,1.24645,3.6745,2.25148,0.0990098,9.802e-06,9.802e-06
3,14.2398,1.15427,3.15059,1.66016,0.00464,1,0.04128,0.01764,1.46647,3.54475,2.68055,0.0980192,1.9208e-05,1.9208e-05
4,18.3248,0.99583,3.02052,1.39366,0.00465,1,0.22664,0.0363,1.29786,3.42387,2.6807,0.0970282,2.8218e-05,2.8218e-05
5,22.3676,0.75815,2.89053,1.28511,0.00443,1,0.06827,0.02589,1.40667,3.2982,3.3184,0.0960368,3.6832e-05,3.6832e-05
6,26.3469,0.56775,2.68285,1.13519,0.00431,1,0.07879,0.03592,1.48021,3.29011,3.64648,0.0950451,4.505e-05,4.505e-05
7,30.3399,0.57788,2.6057,1.15135,0.00441,1,0.24685,0.13054,1.43373,3.23996,3.75594,0.0940529,5.2872e-05,5.2872e-05
8,34.5119,0.50621,2.44265,1.11732,0.00477,1,0.30063,0.14594,1.39009,3.36045,3.4648,0.0930603,6.0298e-05,6.0298e-05
9,38.6199,0.51676,2.49509,1.17607,0.00573,1,0.33971,0.14804,1.29669,3.56738,2.88008,0.0920673,6.7328e-05,6.7328e-05
10,42.6249,0.52557,2.16464,1.06908,0.00629,1,0.32752,0.11094,1.33143,3.57853,2.93924,0.091074,7.3962e-05,7.3962e-05
11,46.592,0.3813,2.18757,1.05861,0.0064,1,0.31094,0.09543,1.50466,3.76482,3.3546,0.0900802,8.02e-05,8.02e-05
12,50.682,0.50077,2.3806,1.10457,0.00607,1,0.1534,0.06769,1.7861,3.79154,3.6903,0.089086,8.6042e-05,8.6042e-05
13,54.7132,0.38731,2.11711,1.04111,0.00539,1,0.15334,0.05995,2.17117,4.02787,4.13767,0.0880915,9.1488e-05,9.1488e-05
14,58.7562,0.47317,2.22176,1.04066,0.00486,1,0.15729,0.04568,2.57931,4.02693,4.56363,0.0870965,9.6538e-05,9.6538e-05
15,62.8452,0.47752,2.13284,1.04854,0.00458,1,0.12259,0.02942,2.77245,4.08954,4.76636,0.0861012,0.000101192,0.000101192
16,67.0212,0.39051,2.0148,1.0095,0.00434,1,0.09808,0.01913,3.10421,4.27113,5.04308,0.0851054,0.00010545,0.00010545
17,71.0302,0.44741,2.07154,0.96671,0.00467,1,0.07409,0.01244,3.45624,4.15118,5.20935,0.0841093,0.000109312,0.000109312
18,74.9742,0.4067,1.88256,1.05574,0.00467,1,0.07409,0.01244,3.45624,4.15118,5.20935,0.0831128,0.000112778,0.000112778
19,79.0737,0.41943,2.01164,0.95919,0.005,1,0.07629,0.00848,3.51712,3.88832,5.05301,0.0821158,0.000115848,0.000115848
20,83.0227,0.40114,2.16847,1.09282,0.005,1,0.07629,0.00848,3.51712,3.88832,5.05301,0.0811185,0.000118522,0.000118522
21,87.008,0.34555,1.88977,0.99154,0.00466,1,0.07933,0.00951,3.36884,3.859,5.06738,0.0801208,0.0001208,0.0001208
22,91.0218,0.42869,1.95474,0.98894,0.00466,1,0.07933,0.00951,3.36884,3.859,5.06738,0.0791227,0.000122682,0.000122682
23,94.9578,0.34885,1.93681,1.05079,0.00443,1,0.08875,0.01141,3.22604,3.72263,5.10606,0.0781242,0.000124168,0.000124168
24,99.1528,0.351,1.87436,1.00285,0.00443,1,0.08875,0.01141,3.22604,3.72263,5.10606,0.0771253,0.000125258,0.000125258
25,103.27,0.42546,1.85139,1.00085,0.00441,1,0.09085,0.0154,3.18775,3.54794,5.21702,0.076126,0.000125952,0.000125952
26,107.233,0.3515,1.80699,0.93966,0.00441,1,0.09085,0.0154,3.18775,3.54794,5.21702,0.0751263,0.00012625,0.00012625
27,111.239,0.39514,1.85349,0.97987,0.00447,1,0.13757,0.02746,2.8832,3.63632,5.11619,0.0741262,0.000126152,0.000126152
28,115.416,0.34102,1.69512,0.9617,0.00447,1,0.13757,0.02746,2.8832,3.63632,5.11619,0.0731257,0.000125658,0.000125658
29,119.503,0.38468,1.95166,0.99714,0.00443,1,0.17732,0.05754,2.27311,3.61804,4.91787,0.0721248,0.000124768,0.000124768
1,4.65801,1.83834,3.52466,2.23192,0.01379,1,0.19536,0.06433,0.92254,3.76773,1.97132,0.1,0,0
2,8.85685,1.32101,3.39352,1.74118,0.00556,1,0.15845,0.07724,0.96507,3.66601,1.95459,0.0990098,9.802e-06,9.802e-06
3,13.1394,0.89926,3.08181,1.45699,0.00185,0.66667,0.01557,0.00534,1.33145,3.62184,2.31391,0.0980192,1.9208e-05,1.9208e-05
4,17.2924,0.79448,2.98259,1.34944,0.00177,0.66667,0.01315,0.00426,1.59647,3.61159,2.69377,0.0970282,2.8218e-05,2.8218e-05
5,21.6464,0.74976,2.81607,1.26069,0.006,0.77778,0.10678,0.02671,1.53377,3.58528,2.92534,0.0960368,3.6832e-05,3.6832e-05
6,25.7664,0.76636,2.89198,1.38972,0.00419,0.77778,0.05906,0.01298,1.49053,3.52577,3.00897,0.0950451,4.505e-05,4.505e-05
7,29.9091,0.72231,2.68186,1.27671,0.00397,1,0.02845,0.01316,1.43744,3.50277,2.96728,0.0940529,5.2872e-05,5.2872e-05
8,34.1724,0.53794,2.49221,1.11689,0.00388,1,0.08365,0.02646,1.328,3.56203,2.9014,0.0930603,6.0298e-05,6.0298e-05
9,38.4844,0.58853,2.409,1.15526,0.00392,1,0.12476,0.04674,1.29371,3.60338,3.00887,0.0920673,6.7328e-05,6.7328e-05
10,42.8252,0.64044,2.33764,1.13618,0.00387,1,0.27535,0.09681,1.2462,3.65476,2.89413,0.091074,7.3962e-05,7.3962e-05
11,46.9542,0.45623,2.21349,1.12658,0.0038,1,0.35132,0.07158,1.31888,3.92173,2.94816,0.0900802,8.02e-05,8.02e-05
12,51.0732,0.43784,2.27975,1.0407,0.00348,1,0.21306,0.08561,1.66195,4.47157,3.47043,0.089086,8.6042e-05,8.6042e-05
13,55.1292,0.5273,2.12355,1.08701,0.00348,1,0.18421,0.06407,2.31157,5.41077,3.92665,0.0880915,9.1488e-05,9.1488e-05
14,59.3802,0.38162,2.16497,1.01294,0.00379,1,0.28096,0.08338,2.61669,5.885,4.18115,0.0870965,9.6538e-05,9.6538e-05
15,63.5742,0.41415,2.34196,1.07355,0.0044,1,0.22374,0.08036,2.98833,5.06925,4.19115,0.0861012,0.000101192,0.000101192
16,67.9602,0.40694,1.93908,1.03657,0.00443,1,0.32367,0.09823,3.05408,4.40378,4.16603,0.0851054,0.00010545,0.00010545
17,72.2282,0.39456,1.9826,1.01747,0.0037,1,0.5391,0.15167,2.56653,4.02294,3.60532,0.0841093,0.000109312,0.000109312
18,76.2642,0.40395,2.00896,0.98955,0.0037,1,0.5391,0.15167,2.56653,4.02294,3.60532,0.0831128,0.000112778,0.000112778
19,80.4235,0.46457,2.03692,1.1022,0.00339,1,0.50694,0.19854,2.1433,3.61304,3.26307,0.0821158,0.000115848,0.000115848
20,84.548,0.47225,2.07204,1.1007,0.00339,1,0.50694,0.19854,2.1433,3.61304,3.26307,0.0811185,0.000118522,0.000118522
21,88.6369,0.41847,1.99377,1.06358,0.0037,1,0.49225,0.23868,1.78151,3.37596,2.89763,0.0801208,0.0001208,0.0001208
22,92.7909,0.36326,1.86935,0.94904,0.0037,1,0.49225,0.23868,1.78151,3.37596,2.89763,0.0791227,0.000122682,0.000122682
23,96.9109,0.48664,1.79641,1.00423,0.00441,1,0.45842,0.21592,1.75594,3.3552,2.90957,0.0781242,0.000124168,0.000124168
24,101.161,0.38827,1.78519,1.02071,0.00441,1,0.45842,0.21592,1.75594,3.3552,2.90957,0.0771253,0.000125258,0.000125258
25,105.458,0.39291,1.90901,1.01571,0.00467,1,0.5372,0.26099,1.69724,3.29519,2.84737,0.076126,0.000125952,0.000125952
26,109.413,0.36511,1.78118,0.96802,0.00467,1,0.5372,0.26099,1.69724,3.29519,2.84737,0.0751263,0.00012625,0.00012625
27,113.528,0.40826,1.84605,1.0229,0.00508,1,0.55306,0.29021,1.63602,3.26084,2.80927,0.0741262,0.000126152,0.000126152
28,117.642,0.35997,1.8252,0.98124,0.00508,1,0.55306,0.29021,1.63602,3.26084,2.80927,0.0731257,0.000125658,0.000125658
29,122.02,0.36274,1.78037,0.97081,0.00606,1,0.5116,0.27349,1.57332,3.28481,2.91004,0.0721248,0.000124768,0.000124768
30,126.342,0.36566,1.8674,0.9549,0.00606,1,0.5116,0.27349,1.57332,3.28481,2.91004,0.0711235,0.000123482,0.000123482
31,130.574,0.32071,1.71063,0.9084,0.00786,1,0.5116,0.24289,1.54928,3.21353,2.83879,0.0701218,0.0001218,0.0001218
32,135.171,0.3237,1.62455,0.96935,0.00786,1,0.5116,0.24289,1.54928,3.21353,2.83879,0.0691197,0.000119722,0.000119722
33,139.405,0.38079,1.75123,0.9898,0.00668,1,0.60806,0.29099,1.62297,3.19383,2.79678,0.0681172,0.000117248,0.000117248
34,143.869,0.37192,1.67327,0.97864,0.00668,1,0.60806,0.29099,1.62297,3.19383,2.79678,0.0671144,0.000114378,0.000114378
35,148.244,0.33221,1.61876,0.98989,0.00625,1,0.60806,0.27919,1.49999,3.15406,2.68448,0.0661111,0.000111112,0.000111112
36,152.445,0.36814,1.65095,0.94413,0.00625,1,0.60806,0.27919,1.49999,3.15406,2.68448,0.0651075,0.00010745,0.00010745
37,156.703,0.31357,1.59881,0.86992,0.00539,1,0.58056,0.33528,1.28117,3.09943,2.53017,0.0641034,0.000103392,0.000103392
38,160.878,0.24667,1.46102,0.94588,0.00539,1,0.58056,0.33528,1.28117,3.09943,2.53017,0.0630989,9.8938e-05,9.8938e-05
